,name
0,SHIB
1,TRX
2,AVAX
3,TON
4,SOL
5,ADA
6,LINK
7,XRP
8,BCH
9,BNB
10,DOT
11,APT
12,SUI
13,LTC
14,NEAR
15,MNT
16,HBAR
17,TAO
18,FET
19,ICP
20,SEI
21,GRT
22,VET
23,POPCAT
24,THETA
25,PYTH
26,WLD
27,AR
28,JUP
29,OM
30,ONDO
31,ENA
32,HNT
33,KCS
34,LDO
35,FLOW
36,ALGO
37,JASMY
38,AXS
39,MKR
40,AERO
41,PENDLE
42,QNT
43,FLR
44,W
45,DYDX
46,NEO
47,EOS
48,ORDI
49,CFX
50,XTZ
51,MINA
52,RAY
53,CHZ
54,SUPER
55,CKB
56,EGLD
57,SAND
58,PYUSD
59,MANA
60,ZEC
61,EIGEN
62,PAXG
63,AIOZ
64,ZK
65,CAKE
66,BLUR
67,ENS
68,TUSD
69,LPT
70,CELO
71,SNX
72,ASTR
73,ZRO
74,IOTA
75,NFT
76,TFUEL
77,COMP
78,XDC
79,GMT
80,IOTX
81,KAVA
82,DOGS
83,ARKM
84,WOO
85,RSR
86,AMP
87,1INCH
88,ETHFI
89,GLM
90,AEVO
91,WEMIX
92,CRV
93,ZETA
94,ZRX
95,LUNA
96,ZIL
97,JST
98,DASH
99,JTO
100,MANTA
101,KSM
102,ANKR
103,GAS
104,SSV
105,HMSTR
106,RVN
107,SCR
108,METIS
109,QTUM
110,PONKE
111,UMA
112,POLYX
113,AVAIL
114,BDX
115,TURBO
116,ROOT
117,MASK
118,TRU
119,PBUX
120,DBR
121,OMNI
122,OSMO
123,TIME
124,SATS
125,BTC
126,XMR
127,ETH
